Context,Response
"I am going through a divorce. He is extremely angry. He refuses to physically assist me with our teenager daughter. I have no extended family support. Often times, I feel overwhelmed, tired, and joyless. I feel out of control, sad and depressed on a daily basis. I am just going through the motions of life every day. I am in my mid50s. I have almost 29 years on my job. How can I handle this?","Going through a divorce is often a very low point for the people involved.Are you surprised that your soon to be ex doesnt help with your teenage daughter?Usually patterns and dynamics in parenting are not sudden developments.Is it possible that what youre feeling now is more intensity to the stress of parenting by yourself, not that this is a sudden problem?This is relevant because you may be more familiar and more capable than youre giving yourself credit. The lack of emotional support is definitely stressful.Your parenting skills may still be at the level at which they were prior to the divorce.Take your emotional weariness seriously and reflect on the various ways of stress relief which are available and interest you.Give yourself extra time to rest, nurture yourself and be flexible in finding what feels right for stabilizing yourself.Since you talk about your daughter and help in physical ways, if it is a matter of strength that you need, talk with your attorney so that the child custody agreement includes whatever is physically necessary in the way of strength, in taking care of your daughter.The Courts are very good at making effort that the custody agreement offers proper care to the kids."
"I just dont know what I want in life anymore. Im cant figure out what it is that is keeping me distracted and unfocused. I cant put things into perspective at all. Im just stuck, and Im disappointed with my lack of accomplishments.","If you are a peoplepleaser type or a natural caretaker, you can slowly lose yourself over time if you are always tending to the needs of others and neglecting yourself. If this sounds like a familiar pattern for you, this may have happened without you even realizing it if you were raised in a family where you had to pick up the slack alot. Maybe your parents were addicts or they might have even just worked all the time and you learned to take care of everything because that is what you had to do to help the family run smoothly.Over time, a person who grows up in this type of environment learns that you put the needs of others before your own. You might also be stuck in these types of patterns in intimate relationships as well if you completely give yourself over to your significant other and you dont create a life for yourself with your own interests and supportive friends, you are at risk of losing what is unique and amazing about you. If you grew up in a family where you learned this role out of survival or because it was needed to take care of your family, its easy to recreate this in adult relationships.In both scenarios, if there is no awareness that this self sacrifice at the expense of others is going on, your identity is shaped around being a caretakerenablerpeoplepleaser and down the road it can lead to depression, low self esteem, and a confused sense of self. Basically, you spend so much time helping other people that you dont make time for yourself or create a life of fulfillment. Before you realize it, you have been living a life for others instead of yourself and you have no idea who YOU are. Supporting loved ones and friends is important and certainly admirable, but if you are always that person that rescues, those that rely on you begin to take advantage of you and they will suck you dry if you let them. In conclusion, learning to set boundaries with those in your life that are too needy becomes a really important part of the process when you begin to recognize that you are unhappy and unfulfilled in life. It sounds like you may be at that crossroads right now. Take one small step at at a time. Identify the worst offenders in your life that suck time and energy, and limit your contact andor set some strong boundaries with those people so you can refocus and do some soulsearching. Meanwhile, engage in pleasurable activities with people you enjoy being with, get yourself outside in the fresh air, get some good sleep, and eat some nourishing food!"
"Im not suicidal and wouldnt take my own life, but sometimes, Ive wished for an accident to occur and take it. I feel like I just shouldnt be here and wish I wouldnt have been born so I didnt have to go through life. For me, its a chore, but I dont know if thats normal or a sign of something.","Sounds like a sign of great unhappiness, or sadness, or insecurity.The real way youll find out what this feeling is about is to ask yourself your own question. Inside you are the only one who will feel when you discover the true answer to your question.Everyone feels some amount of discontent in their lives once in a while. Its normal to not feel entirely happy all the time.Try to accept your unhappiness as motivation to learn more about who you are, what you like, whom you like.Study yourself bc this way you increase the chance to find a road which feels right and happy."
I cant even smile or fake one. I cant feel happiness about anything and I cant show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I cant get over the loss of a loved one and Im not close to my family. What can I do?,"Trust and believe your own feelings.Emotions are real and reflect how someone feels about a situation.Since youre sad about losing a loved one, be patient w your feelings about this. Basically, be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones."
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,"Youre probably not going to like my answer.Your question says a lot about what YOU want rather than what she wants or what may be best for her. Sometimes, whats best for a person is the hardest thing to do, and may be completely opposite of what YOU want.Addictions dont happen in a vacuum. If youve had any experience with addicts at all, then Im sure youve heard the term enabler. A lot of the times, when people think theyre helping, theyre actually enabling the addict to continue their selfdestructive behavior. Tough love and clear boundaries are needed in a lot of situations, but especially with addictions. Family and friends are often the biggest contributing factor to someone choosing to usedrink, continuing to do so, or relapsing back into it.You said she recently quit. You said she is depressed. She wants to move. When a person receives counseling for addictions, they are encouraged to make changes like this. They need to break the habit, and this means removing people from their lives at times. It means moving to new locations. Anything that may trigger a relapse needs to be identified and removed. Not only that, but the addict needs to do a lot of personal reflection to figure out WHY they usedrink in the first place, and not only break the physical addiction to it, but deal with whatever is the root cause that led them to use in the first place. She may need some time alone to figure out who she is as a person, time to make some decisions for herself and do what she needs to do to be healthy.Dont pressure her to stay. Let her have the freedom to do what she needs to do. If she stays, the decision needs to be hers and hers alone. It doesnt need to be made under pressure. That will only lead to resentment. Support her, but dont try to change her or make her do anything, especially for selfish reasons. Let her go. It sounds like she needs some time to focus on herself right now. It wouldnt be a bad idea for you to do the same."
"Im a teenager. My dad has been jail for the last five years. Its tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when Im the second youngest, and Im not stable. My mother and sisters say Im overdramatic. Im just so hurt, and I keep breaking down.","Each person handles themselves differently in any situation.Since you are willing to speak about how you feel, keep looking for blogs and forums on whatever topics you feel most describe your current circumstance.Your mother and sister, even though they are family seem to prefer the opposite method to yours.Find your own path of supportive other people and possibly a therapist.This way youll have understanding and validation which your mom and sister dont want to give you right now."
"Im in my mid 20s with a husband and children. I love my family, but I feel like Ive lost my identity, and I dont know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know Id feel like worse without them. I loathe myself at times. I have an amazing life, so why cant I just enjoy it?","Good for you on being sensitive to your human need for personal evolution.Wife and mother are meaningful positions. And in your case, in order to feel your own growth, other areas of who you are would like your attention.Give yourself time to allow your interest to wander in order to find the area of growth which will satisfy you.Just like you know now that youd like more than your current situation, trust yourself to know you will also know when youve arrived at another road youd like to take for your own happiness."
"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?","Thank you for asking this important question. I find that there are three steps to getting ready for treatment.Step one is expressing interest in wanting to receiving treatment for the outcome of positive behavioral change. Congratulations you did the first step! You are showing your readiness to start counseling by asking this question.Now the second step is to find a counselor who specializes in treating clients with Anxiety and Depression. The therapeutic orientations I have found to be helpful in treating clients with Anxiety and Depression are a combination of Cognitive Behavioral Therapy with Mindfulness, and Solution Focused Brief Therapy. Receiving meditation for your symptoms if part of the treatment, and the other part is receiving counseling to increase your resilience for future events.Research has found that medication and psychotherapy treatments together shows the most effective outcome for Depression. The third step is to increase your positive selftalk to motivate yourself to attend treatment. As counselors, we are aware of the anxieties and fears that are associated with talking to a new professional for the first time. However, remind yourself that you are doing this to improve your well being. I hope this was helpful, and good luck with your treatment journey."
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like Im just out with friends and I never go home.","From the little bit you wrote, my guess is you havent figured out where and how to lay down your own set of roots.Usually people who have a university level eduction are old enough to work in order to support themselves.Unless you have a medical condition which limits or prevents you from working a fulltime job, would you guess that the effort and thought involved in deciding in what professional area and geographic location to look for work, would offer you a way to establish your identity?My suggestion is to pay more attention to your own likes, dislikes, and interests. To know these areas more deeply would define the type of people with whom you identify, have a common interest and with whom youd like to socialize.The more you realize who you are, the easier time youll have to find likeminded others and feel securely at home with them and yourself.Again, if you have a medical disability or condition which prevents employment or easily socializing with other people, then this advice would need to be modified for your specific strengths."
I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.,"First of all, I can tell that you really care about your friend and I think its great that you are reaching out with your concern. Its hard to determine whether your friend would meet the criteria for an official diagnosis of depression without working with him, however, whether he does or not, therapy may be beneficial for him in working through these difficult feelings and relational challenges. Unfortunately, you cant make your friend get help. He will ultimately need to make that decision for himself, however, you can talk to him about your concerns and your hopes that he will reach out for help."
Ive become so jaded that I cant control my thoughts. I cannot focus on anything and been having anxiety attacks.,"Maybe your thoughts require your attention and the best course would be to pay attention and follow them!If youre in an especially stressful or uncertain time in your life, then the best way through is to understand the tension you feel.It keeps trying to get you to know whats going on deep within you.Anxiety is a sign of stress and weariness. Your thoughts are a chance to simply rest and know what they would like you to know.Then, when that process is finished your anxiety will no longer be necessary and will most likely leave you alone."
"When I get around a particular person or when I go home, Im just sad or irritated. The feeling comes and goes all day every day. I dont know what wrong. Im not sure if Im just making up symptoms and problems in my head or if there is something actually wrong.","Feelings are real, is very unlikely that you are making them up since they are a response to the thoughts in your mind and your daily experiences and interactions. Often we assume that feeling sadness is bad and that we should only feel happiness and joy but all feelings have a purpose joy, sadness, anger, frustration, excitement, anxiety, among others. Is not healthy to experience the same feeling for a long time, so we should learn to identify what causes them and how to process them so you can navigate through life experiences with more ease. I am a Licensed Professional Counselor in Texas, currently providing services in West Houston. You may reach me at 7874665478 to schedule an appointment. Me he estado sintiendo tristeCuando salgo con una persona en particular o cuando llego a casa, estoy triste o irritado. El sentimiento viene y va todo el da. No s qu est mal. No estoy seguro si estoy inventando los sntomas y problemas en mi cabeza o si algo realmente est mal. Los sentimientos son muy reales, y es muy poco probable que los ests inventando, por que los sentimientos son una respuesta tanto a los pensamientos que hay en nuestra cabeza, y, a las situaciones que nos ocurren da a da. Muchas veces pensamos que sentirnos triste est mal, y que solo debemos sentirnos alegres, pero todas las emociones tienen un propsito y razn de ser, tanto la alegra, como la tristeza, el coraje, la frustracin, la excitacin o el desespero, entre otros. No es bueno quedarnos estancados una emocin. As que es importante aprender a identificar que causa nuestros sentimientos, como procesarlos para poder superar nuestras emociones y movernos de una experiencia a otra con ms tranquilidad. Soy Consejera Profesional Licenciada en Texas y Puerto Rico, veo clientes en el este de Houston y proveo servicios de tele terapia. Para una cita puedes llamar al 7874665478."
"I am a teenager. I have been experiencing major episodes of depression if thats even what it is for several years. Its always getting worse. I have been having panic attacks, feeling like I cant control my fears, and I cant even bring myself to care if I live or die anymore. The problem is that I dont know who to ask for help. When I try to talk to my parents, I freeze completely and cant do anything but make a joke because never once in my life have we talked about our feelings.","I understand that talking about our feelings can be awkward and using jokes is a way to relieve that awkwardness, but there is a right or wrong way to talk about your feelings. The important part is to recognize that you need help addressing those feelings and reaching out, which you are doing already. Having small conversations with your family is helpful, you can explain to them that you have been experiencing emotional discomfort and would like to talk to them about it. Since you been experiencing anxiety, panic attacks, and have thought about dying, It is VERY important that you ask them to help you make an appointment with a mental health professional. Those symptoms indicate that your body is having a hard time managing intense feelings and it will be helpful if you understand why they occur and how to cope with them. You may contact your school counselor or you may schedule an appointment with a local therapist. You may contact the Texas Crisis Hotline 8009896884 where you can talk or chat with mental health professionals or schedule a teletherapy session. The National Crisis Hotline is also available for calling and texting 18002738255.I am a Licensed Professional Counselor in Texas, currently providing services in West Houston. You may reach me at 7874665478 to schedule an appointment. Cmo hablo de mis sentimientos de depresin y con quin hablo?Soy un adolecente. He estado experimentando episodios de depresin severa si es lo que creo por muchos aos. Siempre se pone peor. He estado teniendo ataques de pnico, sintiendo que no puedo controlar mis miedos y sintiendo que ya no importa si quiero vivir o morir. El problema es que ya no s a quin pedirle ayuda. Cuando intento hablar con mis padres, Me congelo y solo puedo hacer bromas porque nunca en mi vida hemos hablado de nuestros sentimientos. Entiendo que hablar de tus emociones puede hacernos sentir inadecuados, y bromear es una manera de manejar ese sentimiento incmodo, pero no hay forma correcta o incorrecta de hablar sobre tus sentimientos. Lo importante es reconocer que necesitas ayuda para manejarlos, y ya tu estas en ese proceso. Tener pequeas conversaciones con tu familia te ayudara a explicarles los sentimientos que estas experimentando. Es importante que les pidas hacer una cita con un profesional de la salud mental, ya que has estado experimentando sntomas que indican que tu cuerpo ya no puede manejar tus sentimientos y necesita nuevas herramientas. Puedes contactar a tu consejero escolar, o a un proveedor de salud mental cerca de ti o por telfono. Mientras tanto, puedes llamar a la lnea de crisis de Texas 8009896884 para hablar con un profesional de salud mental. La lnea nacional de crisis tambin esta disponible en todos los Estados Unidos y proveen servicios en espaol 18002738255Yo soy una Consejera Profesional Licenciada en Texas y Puerto Rico, veo clientes en el este de Houston y proveo servicios de tele terapia. Para una cita puedes llamar al 7874665478."
I feel lazy and numb. I have no interest in things.,Maybe right now it is time for you to rest before the next wave of new activity comes along.To have no interest may mean you are already so saturated with recent situations and their meaning that you are naturally withdrawing in order to regain your energy.
"Im currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99 sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSMIV, taken college psychology, etc. I know it in my heart I have them. Is selfdiagnosing okay with the right research?","Any diagnosis is limited in its usefulness.Knowing the name of some typical ways you may feel, think and behave, doesnt help you or anyone to understand why the person is the way they are and how to change any of these characteristics.Both selfdiagnosing and being diagnosed are equally unhelpful to know why you are the way you are and what to do about it.Consider yourself a person who wants to find a better way to be who you are, and this will get you further with better results than to read a list of descriptions which all are very indicting and negative sounding."
"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. Im always alone, and I honestly havent hung out with anyone since they left. Im super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think Im falling into a depression or something. I just need help.","Definitely it is sad to lose friends who are a regular part of daily life.How did you meet the two friends who just moved away? Its possible that you could look for similar situations and see if anyone catches your interest to know as a friend.Keeping in mind that friendship is based on trust and common interests, and that these qualities require time to observe and develop, think of what you can do to keep happy while these paths unfold.In addition to being open to meeting new friends, involve yourself in projects from which youll feel satisfied by your own results."
I am the problem. I make my family argue because of me. My mom has even said it. Its constantly like this. I cause problems. I am worthless. I cant stop crying. Sometimes I have to cry myself to sleep. I cant even leave my room because my family cant stand me.,"I am so very sorry for how pressured and sad you feel right now.Definitely all family members have an effect on the other ones.From what you write, your family members are not considering the effect their negative comments have on you.Also, keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem. You are not in control of the other people in your family.More likely they take the easy way out and blame you for what they dont want to know about themselves.Stay aware that the familys decision to target you doesnt mean that you are doing something wrong. Certainly your existence is not wrong, which is the degree to which the unfairness seems to have spread.What to do about it is read about family systems to see more explanations on how you are being unfairly treated.Also stay in touch with friends bc these are the people who value and respect you."
"Im depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am picking at my skin profusely. After roughly a week, the anxiety is back and still picking. Sometimes I find myself causing fights to have change.","One way to know yourself a little better and why the dynamics you describe take place, is to understand the particular dynamics of your life context.Look at your major areas of where you spend your time, whether you are happy with the people with whom you socialize, how you feel toward family members and how they seem to feel toward you.If you examine your relationships and life this way then you may start to notice areas where you have some control or at least a say in how your life is going.If you are socializing among people whom you dont like, have a job you dont like and your family mistreats you and you mistreats them, for example, then anxiety and depression are an understandable natural result.If you make improvements in your life and relationships, even tiny improvements and even the effort and intention to improve, you may find your anxiety and depression dissipating.People usually feel their worst when they feel lack of control in their life.Look for ways you can regain andor strengthen yours."
Im very depressed. How do I find someone to talk to?,"You have already taken the brave first step of making the decision to heal from it and find a professional that will help you do so. There are lots of different options nowadays for therapists, as you can see them online or in an office. My biggest tip for you is to use Psychology Today or Counsel Chat to find a therapist. Enter in your zip code and you will find many different therapists you can talk to . Be sure to find someone that you most resonate with and ask them any questions you may have. Many times, therapists will provide free consultations and this can be a great opportunity to see if you are a good fit."
Im constantly in a bad mood and I have no energy. Is that depression?,"Depression has many different signs and symptoms and looks different for every person. Often times people think depression is more about feeling sad, but depression can, in fact, express itself through irritability or bad mood as you say and lack of energy.According to the DSMV Diagnostic and Statistical Manual of Mental Disorders, depression includes the following symptomsDepressed moodIrritable moodDecreased interest or pleasure in activities you usually participate in or enjoySignificant weight change or change in appetiteChange in sleep insomnia or hypersomniaPsychomotor aggitation or retardationFatigue or loss in energyFeelings of worthlessness or excessive guiltDiminished ability to concentrate or indecisivenessThoughts of suicide or planThe great news is that there are many ways to improve depressive symptoms. If you are up for it, perhaps the best place to start is by seeing a physician or a therapist who can help determine how severe the depression is and can suggest methods of addressing the depression that fit your lifestyle, values, and capabilities. Good luck!"
"Im in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I wont want to talk to them for days or even weeks. Sometimes I feel im not worth knowing or im never going to do anything right. Are they right, am I depressed?","I wouldnt necessarily say you are clinically depressed based onthat first paragraph in your question. Because that could describe moreintroverted behavior people who feel more energy from a more internal approachas opposed to those who feel more energy from being among others. It is morein the second paragraph that I would be inclined to say that furtherexploration is definitely needed. The diagnosis of Major Depressive Disorder ismore than just those two symptoms, but there are more mild forms of depressionthat can be equally damaging to someone if left untreated.However, one of the trickiest parts of this is that someone whofeels they are not worth knowing may also believe they are not worth having atherapist know them, and even less worthy of being helped. Do you feel thatmight be you? If so, could we acknowledge that as a part of the big picture,and all wrapped up in these feelings about yourself, and realizing thatthoughts and feelings arent always rational in that you are worth getting thehelp?My recommendation just from the information would be that you seekout a supportive, listening ear in the form of a therapist, who can allow youthe space to express some of these difficult experiences, and help you name FORYOURSELF, what your struggle is. To empower you to name it for yourself, asopposed to everyone labeling andor judging you for it, might be an extremelyworthwhile start for you."
She has trouble falling and staying asleep and shes always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason. She says she is always kind of down. Is this depression? What can I do to help her?,"Sounds like signs of someone who is depressed.Since the person in question is your friend, offer your friendship to listen to any situations or feelings she has about herself and the way her life is going.Depressed people are often lonely people and feel as though no one around them cares or notices them. Your willingness to be available to her may lift her spirits. Feeling loved goes a long way to dissolving depressed feelings.Also, if in the beginning when you offer to talk, there is a high chance shell be defensive and turn down your offer.Try again on another day and then another day.When people feel depressed they usually shut down. So you may need a few or several tries before your friend accepts your offer to show her you care about how she is doing.Also, watch for signs within yourself that your friends depression is not sinking your emotions. Depressed people are draining to be around because they often see and talk about only the negatives and drawbacks of situations."
